Track ID,Label,Action,Speed (km/h),Class,Date,Time
27,car ID: 27,OUT,30,car,2025-01-17,14:12:40
3,car ID: 3,IN,16,car,2025-01-17,14:12:41
6,car ID: 6,IN,19,car,2025-01-17,14:12:41
47,car ID: 47,OUT,31,car,2025-01-17,14:12:43
4,car ID: 4,IN,19,car,2025-01-17,14:12:46
12,truck ID: 12,IN,16,truck,2025-01-17,14:12:47
17,bus ID: 17,IN,22,bus,2025-01-17,14:12:50
172,bus ID: 172,OUT,26,bus,2025-01-17,14:12:53
103,car ID: 103,IN,18,car,2025-01-17,14:12:53
194,truck ID: 194,OUT,23,truck,2025-01-17,14:12:54
119,car ID: 119,IN,19,car,2025-01-17,14:12:56
352,truck ID: 352,OUT,34,truck,2025-01-17,14:13:02
186,car ID: 186,IN,20,car,2025-01-17,14:13:05
146,bus ID: 146,IN,17,bus,2025-01-17,14:13:05
415,truck ID: 415,OUT,26,truck,2025-01-17,14:13:06
27,car ID: 27,OUT,25,car,2025-01-17,15:24:39
3,car ID: 3,IN,12,car,2025-01-17,15:24:40
6,car ID: 6,IN,13,car,2025-01-17,15:24:41
47,car ID: 47,OUT,26,car,2025-01-17,15:24:42
4,car ID: 4,IN,13,car,2025-01-17,15:24:45
12,truck ID: 12,IN,13,truck,2025-01-17,15:24:46
17,bus ID: 17,IN,17,bus,2025-01-17,15:24:49
172,bus ID: 172,OUT,22,bus,2025-01-17,15:24:52
103,car ID: 103,IN,14,car,2025-01-17,15:24:52
194,truck ID: 194,OUT,21,truck,2025-01-17,15:24:53
119,car ID: 119,IN,14,car,2025-01-17,15:24:55
352,truck ID: 352,OUT,33,truck,2025-01-17,15:25:01
186,car ID: 186,IN,15,car,2025-01-17,15:25:05
146,bus ID: 146,IN,12,bus,2025-01-17,15:25:05
415,truck ID: 415,OUT,23,truck,2025-01-17,15:25:06
1,truck ID: 1,OUT,11,truck,2025-01-17,15:33:41
27,car ID: 27,OUT,14,car,2025-01-17,15:33:42
3,car ID: 3,IN,8,car,2025-01-17,15:33:43
6,car ID: 6,IN,9,car,2025-01-17,15:33:43
47,car ID: 47,OUT,17,car,2025-01-17,15:33:45
4,car ID: 4,IN,9,car,2025-01-17,15:33:48
12,truck ID: 12,IN,9,truck,2025-01-17,15:33:49
25,car ID: 25,IN,9,car,2025-01-17,15:33:51
17,bus ID: 17,IN,13,bus,2025-01-17,15:33:52
165,truck ID: 165,OUT,10,truck,2025-01-17,15:33:54
172,bus ID: 172,OUT,13,bus,2025-01-17,15:33:55
103,car ID: 103,IN,10,car,2025-01-17,15:33:56
194,truck ID: 194,OUT,13,truck,2025-01-17,15:33:56
119,car ID: 119,IN,9,car,2025-01-17,15:33:59
281,truck ID: 281,OUT,14,truck,2025-01-17,15:34:01
352,truck ID: 352,OUT,20,truck,2025-01-17,15:34:04
186,car ID: 186,IN,10,car,2025-01-17,15:34:08
146,bus ID: 146,IN,8,bus,2025-01-17,15:34:08
415,truck ID: 415,OUT,15,truck,2025-01-17,15:34:09
1,truck ID: 1,OUT,19,truck,2025-01-17,15:43:17
27,car ID: 27,OUT,25,car,2025-01-17,15:43:18
3,car ID: 3,IN,13,car,2025-01-17,15:43:19
6,car ID: 6,IN,14,car,2025-01-17,15:43:19
47,car ID: 47,OUT,25,car,2025-01-17,15:43:20
4,car ID: 4,IN,13,car,2025-01-17,15:43:23
12,truck ID: 12,IN,13,truck,2025-01-17,15:43:24
25,car ID: 25,IN,15,car,2025-01-17,15:43:26
17,bus ID: 17,IN,18,bus,2025-01-17,15:43:27
165,truck ID: 165,OUT,15,truck,2025-01-17,15:43:29
172,bus ID: 172,OUT,21,bus,2025-01-17,15:43:30
103,car ID: 103,IN,15,car,2025-01-17,15:43:31
194,truck ID: 194,OUT,21,truck,2025-01-17,15:43:31
119,car ID: 119,IN,14,car,2025-01-17,15:43:34
281,truck ID: 281,OUT,21,truck,2025-01-17,15:43:36
352,truck ID: 352,OUT,28,truck,2025-01-17,15:43:39
186,car ID: 186,IN,15,car,2025-01-17,15:43:42
146,bus ID: 146,IN,12,bus,2025-01-17,15:43:43
1,truck ID: 1,OUT,74,truck,2025-01-17,15:44:02
27,car ID: 27,OUT,72,car,2025-01-17,15:44:03
3,car ID: 3,IN,42,car,2025-01-17,15:44:04
6,car ID: 6,IN,50,car,2025-01-17,15:44:04
47,car ID: 47,OUT,76,car,2025-01-17,15:44:05
4,car ID: 4,IN,44,car,2025-01-17,15:44:08
12,truck ID: 12,IN,51,truck,2025-01-17,15:44:09
25,car ID: 25,IN,53,car,2025-01-17,15:44:11
17,bus ID: 17,IN,60,bus,2025-01-17,15:44:12
165,truck ID: 165,OUT,51,truck,2025-01-17,15:44:14
172,bus ID: 172,OUT,61,bus,2025-01-17,15:44:15
103,car ID: 103,IN,51,car,2025-01-17,15:44:16
194,truck ID: 194,OUT,60,truck,2025-01-17,15:44:16
119,car ID: 119,IN,50,car,2025-01-17,15:44:19
281,truck ID: 281,OUT,67,truck,2025-01-17,15:44:21
352,truck ID: 352,OUT,94,truck,2025-01-17,15:44:24
186,car ID: 186,IN,54,car,2025-01-17,15:44:27
146,bus ID: 146,IN,46,bus,2025-01-17,15:44:28
415,truck ID: 415,OUT,67,truck,2025-01-17,15:44:29
1,truck ID: 1,OUT,82,truck,2025-01-17,15:49:27
1,truck ID: 1,OUT,69,truck,2025-01-17,15:52:43
27,car ID: 27,OUT,81,car,2025-01-17,15:52:44
3,car ID: 3,IN,50,car,2025-01-17,15:52:44
6,car ID: 6,IN,62,car,2025-01-17,15:52:45
47,car ID: 47,OUT,84,car,2025-01-17,15:52:46
4,car ID: 4,IN,58,car,2025-01-17,15:52:48
12,truck ID: 12,IN,52,truck,2025-01-17,15:52:49
25,car ID: 25,IN,59,car,2025-01-17,15:52:51
17,bus ID: 17,IN,63,bus,2025-01-17,15:52:52
165,truck ID: 165,OUT,59,truck,2025-01-17,15:52:53
172,bus ID: 172,OUT,77,bus,2025-01-17,15:52:55
103,car ID: 103,IN,64,car,2025-01-17,15:52:55
194,truck ID: 194,OUT,62,truck,2025-01-17,15:52:56
119,car ID: 119,IN,58,car,2025-01-17,15:52:58
281,truck ID: 281,OUT,68,truck,2025-01-17,15:53:00
352,truck ID: 352,OUT,105,truck,2025-01-17,15:53:03
186,car ID: 186,IN,65,car,2025-01-17,15:53:06
146,bus ID: 146,IN,54,bus,2025-01-17,15:53:06
415,truck ID: 415,OUT,81,truck,2025-01-17,15:53:07
1,truck ID: 1,OUT,78,truck,2025-01-17,15:57:52
27,car ID: 27,OUT,82,car,2025-01-17,15:57:53
3,car ID: 3,IN,50,car,2025-01-17,15:57:54
6,car ID: 6,IN,61,car,2025-01-17,15:57:54
47,car ID: 47,OUT,84,car,2025-01-17,15:57:55
4,car ID: 4,IN,59,car,2025-01-17,15:57:57
12,truck ID: 12,IN,53,truck,2025-01-17,15:57:58
25,car ID: 25,IN,61,car,2025-01-17,15:58:00
17,bus ID: 17,IN,71,bus,2025-01-17,15:58:01
165,truck ID: 165,OUT,60,truck,2025-01-17,15:58:02
172,bus ID: 172,OUT,75,bus,2025-01-17,15:58:04
103,car ID: 103,IN,61,car,2025-01-17,15:58:04
194,truck ID: 194,OUT,72,truck,2025-01-17,15:58:05
119,car ID: 119,IN,60,car,2025-01-17,15:58:07
281,truck ID: 281,OUT,78,truck,2025-01-17,15:58:09
352,truck ID: 352,OUT,107,truck,2025-01-17,15:58:12
186,car ID: 186,IN,65,car,2025-01-17,15:58:15
146,bus ID: 146,IN,56,bus,2025-01-17,15:58:15
415,truck ID: 415,OUT,79,truck,2025-01-17,15:58:15
